complaint_id,complaint_text,domain,category,route,severity,recurrence,innovation_required,innovation_area,affected_population,government_level,department,problem_type,solution_type
SS00001,humare yaha paani nhi h,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,150,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00002,humare yaha paani ki dikkat h gaon me kuan sookh gaya,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,1200,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00003,paani km h drinking water scarcity in village,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,450,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00004,humare paani nahi hai door se paani lana pad raha,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,150,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00005,gaon me paani ki kami h summer me drinking water crisis,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,8500,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00006,peene ka paani nahi h tanker bhejo,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,150,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00007,paani nahi aa raha h 4 din se gaon me dry status,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,150,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00008,paani kam h paani ki dikkat h ward 4 me,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,450,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00009,humare ghar tak paani nahi pahunch raha hai,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,8500,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00010,drinking water shortage in village area no water in wells,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,8500,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00011,गाँव में पानी नहीं है पीने का पानी नहीं आ रहा,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,450,State Department,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00012,"Village Water Scarcity & Dry Wells in our village area is completely non-functional, urgent government action required.",Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Persistent,No,None,8500,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00013,"Pichle 15 din se village water scarcity & dry wells ka dikkat ho raha hai, authority field team ko bheje.",Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,Occasional,No,None,150,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00014,हमारे पंचायत में village water scarcity & dry wells से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,Medium,Persistent,No,None,3500,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00015,village water scarcity & dry wells issue in ward 3 officer not picking up calls,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,Low,Occasional,No,None,1200,Block Level (BDO),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00016,gaov me village water scarcity & dry wells kharab h 2 mahine se koi sunne wala nahi h,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,Medium,Occasional,No,None,450,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
SS00017,Block level grievance filed for village water scarcity & dry wells last month but service is pending.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,Low,One-time,No,None,150,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00018,Urgent maintenance team required for village water scarcity & dry wells near village center.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,High,One-time,No,None,3500,Panchayat Level,Water Resources Department,Service Delivery,Repair / Staff Posting
SS00019,Public facility for village water scarcity & dry wells has been completely unmaintained for 3 months.,Water Resources & Drinking Water,Village Water Scarcity & Dry Wells,Government,Low,Persistent,No,None,1200,District Level (DC Office),Water Resources Department,Service Delivery,Repair / Staff Posting
